gene,importance
TREML4,0.081641935
TFEB,0.03943038
AL035588.1,0.13563983
PTCRA,0.19341643
TJAP1,0.009082235
AL359633.2,0.02957921
AL033397.2,0.20613809
KLHL31,0.1072891
LRRC1,0.06161508
AL033384.2,0.052911054
BMP5,0.17748529
AL445250.1,0.091209196
LGSN,0.34838763
COL9A1,0.040911544
TENT5A,0.20321846
TBX18,0.10371447
FHL5,0.26762697
AL589740.1,0.019914674
DDO,0.013477228
LINC01268,0.034138184
HDAC2-AS2,0.048382554
FRK,0.025229862
GJA1,0.11561193
TPD52L1,0.0779409
AL365259.1,0.1141753
HEY2,0.10311783
LAMA2,0.055650026
CTGF,0.11769823
VNN2,0.15244104
EYA4,0.0957608
AL078590.2,0.05006818
LINC01010,0.13042246
AL078590.3,0.03415201
AL357060.1,0.03318911
TNFAIP3,0.049193785
NHSL1,0.051005673
AL035446.1,0.2503375
ADGRG6,0.03447398
AL024474.2,0.015198792
AL023806.1,0.0322222
AL023806.2,0.17390364
MYCT1,0.31622842
VIP,0.17402826
IPCEF1,0.062144805
CNKSR3,0.025798881
AL512658.1,0.012638171
AL390955.2,0.39296374
SYNJ2,0.01103598
AL356417.3,0.0566792
SLC22A3,0.009011644
PACRG-AS3,0.034771755
PACRG-AS1,0.10115578
CAHM,0.091681086
PRR18,0.056711134
LINC01558,0.34547758
THBS2,0.025700217
AL354892.2,0.13656726
AL596442.2,0.21331988
AC147651.4,0.2841645
CARD11,0.09644633
SDK1,0.05461501
NXPH1,0.046011206
AC004852.2,0.05777617
THSD7A,0.044570297
SCIN,0.10267076
AC011287.1,0.11906526
AGMO,0.06488364
AC019117.1,0.009248156
AC002480.2,0.06926542
AC002480.3,0.56902176
FAM126A,0.028127044
GPNMB,0.023934675
NPY,0.03532162
AC010719.1,0.23240189
HOTAIRM1,0.22297466
CPVL,0.028123392
AQP1,0.014850362
AC008080.4,0.14311017
NPSR1,0.13896525
AC018647.1,0.05929397
ANLN,0.090224765
AOAH,0.048076104
ELMO1-AS1,0.025684029
TRGC1,0.2849163
TRG-AS1,0.0699873
AEBP1,0.08918164
LINC01952,0.30975744
AC073115.1,0.22816388
AC004870.4,0.052019283
